Tweets,isLiterary
"to all of you who worked all today, i'm proud of you. high- 🦶 https://t.co/y7veknqw5y",True
"alright, i only need $125 now 😳 thank you for those of you who have shared and sent money, please keep sharing if you can, i'm so so close 🤞🏽 https://t.co/6cdcnjoxmj",True
"@beloved_june maybe it’ll happen for you, who knows.  i’m 10-11 years in and really starting to have fun in life.",False
"@marinasmigielsk yeah.....so cool... good for you, who gives a shit, you didn't provide any proof.... just gave some silly made up titles for crazy liberals...",True
"@laurenboebert hey bobo, the people that want to come here could make significant contributions to our country as previous immigrants have. of course, there are exceptions to this, e.g., people like you who are very unproductive.",True
"de: anônimo 
para: @siipipoca 

i say it's you who wipe my tears and brings the light into my darkness",True
"@teapainusa pure shame.
when she tell you who she is, believe her..,,  👀",True
"✨ new year's kiss

i'm preparing my best last year kiss and first of the next year thenotorioushrt 😘💕
and you, who will you kiss at midnight?

➡️ https://t.co/4adkmcfbsr https://t.co/2z2neq1byl",True
"“come to me all you who are weary and burdened and i will give you rest. take my yoke upon you and learn from me for i am gentle and humble of heart and you will find rest for your souls. for my yoke is easy and my burden is light.”
- matthew 11:28-30",True
@engelsfreddie @sethrogen does that mean you’re a moron for trying to correct someone on social media only to find out that it’s you who doesn’t know what they’re talking about?  maybe actually use your brain before trying to be “smart” next time lol…,False
"@beakemi sometimes it's hard to open up to people. they might listen but (some of them) will not understand (the pain).

but it's always great to know that there are still people like you who are willing to listen. that's a huge help. 😊",True
"@luvyouneighbor @johnpavlovitz i am a christian, you're lying again.  i rebuke homophobes, people like you who do not follow christ's teachings on anything.  you are lying again.  don't you know that telling lies is a sin?",True
the stars would be so proud to know that their atoms created someonelike you who manages to complement you in every way,True
"buy land they said... its easy fun and such a great thing...
something people tell you who don't have land or don't take care of it themselves 🤣 https://t.co/90pgqlfvyb",False
"✨ stolen kiss

bananabiemilk would kiss you around the corner... 😏
and you, who would do it?

➡️ https://t.co/o7jscjon46 https://t.co/5asohhubj9",True
"“when someone shows you who they are, believe them the first time.” right @govstitt?

https://t.co/rluambbuhn",True
"✨ stolen kiss

sebhersey would kiss you around the corner... 😏
and you, who would do it?

➡️ https://t.co/a2zvqsgios https://t.co/fyosjtqbus",True
"@justincarterw @amalutmani @justintrudeau @francoislegault @jjhorgan @fordnation @fureyandrew and yes, i’m frustrated with people like you, who just want to blame justin for taking care of canadians while giving conservative premiers like kenney and ford a free pass",True
@kamalaharris before we can move forward s we need to strip away the doctors credentials who are choosing to spread misinformation.  those of you who are non vaccers. wake up and do the research.,True
@cawthornfornc did you really bring a knife to a school board meeting? the hell is wrong with you? who raised you?,True
@cawthornfornc did you really bring a knife to a school board meeting? the hell is wrong with you? who raised you?,True
@npr same thing with so many cases. it’s you who don’t cover it so maybe start covering your or learning from the independent reporters that do.,False
ohh ahhh look at you who claimed to be not sexually interested in no genders. ohh ahh look at you now. how does it feels? sweet like honey. smooth like butter. get it let it roll~,True
"tibet bazaar: £3,344 raised – thank you! 

thank you to all of you who placed a bid in tibet bazaar and congratulations to the winners! we'll be contacting everyone this https://t.co/tmfgelbmeb https://t.co/v8xmvkabgr",True
"a little advice for those of you who subscribe to apps and movies and so forth. after you cancel a subscription, they still have your credit card info. even if they give you a refund for wrongfully charging your account. they still have your card info. be careful.",True
@amyphanwest good luck. we need more people like you who understand what it's like where we are headed.,True
"@manypawns i couldn't tell you who they are if i do.

*leaning back in his chair, and patting his stomach*

tell ya what i /do/ have, though. a food baby.",True
"when someone tells you who they are, believe it and joe biden has been telling us who he is for over 40 years now

if you thought ""nothing will fundamentally change""  would be positive,  then you seriously have no business purporting to gaf about anything but the bottom line",True
"@iamkiraj ""even tho i have birth to you, it's actually you who gave life to me"" 
words so meaningful and heart-felt😢
all i see is greatness 👏🏼👏🏼🥰",True
"when they tell you who they are, believe them. https://t.co/npeppsczkn",True
"for those of you who don’t know i am doing a postgrad year, at the peddie school and will be entering the class of 2022!! https://t.co/vyq19rai8d",False
"i applaud all of you who add extra hair for length or whatever reason you choose. i’m tired of this ponytail in my hair for my uncle wedding, i’m ready for her to go. got my friend coming over later to take it out. gotta go https://t.co/rrlq26tr7h",True
@dreamingkass nobody cares it’s not you who’s making the games.,False
@elijahkyama we all remind you who’s on the wheel😂#ole,False
@francescacawood i’d say it’s somewhere between the two. it’s made in sheffield. that’s in yorkshire so that means it’s good. i’m sure they’ll tell you who stocks it. so please get some if you can instead of that worcester stuff. 😬,True
"@brig_aloe_rice i do hope you come to your senses. the nazi comparison was there to show you who you share your beliefs with. nazis are bad, and so is believing things they believed about people they deem subhuman.",True
@tonyjvila @vixey_picklejar i agree 💯😂. i definitely like the older stuff a lot better. i listen to it more now than anything else. i can’t get into the new stuff today. couldn’t even tell you who half of them are.,True
@burntout32 @conserv11190902 @codyisagoodboy @donaldjtrumpjr if it’s so effective and so great then me not having it shouldn’t effect you. also you’re missing the point here bud. if i had the virus i do not need the vaccine because you who’s vaccinated and me who’s had the virus both have the same antibodies. dummy.,False
"[giveaway]

🏖 ""catlandia"" is open 🏖
come get some diys or items you don’t have! please be mindful of others behind you who want some too.

shops are open, f...

join here 👉 https://t.co/tupbzl97d3

#acnh #acnhgiveaway #acnhtrade",True
excujeu me. but it takes me exactly 32 minutes to get to you. who do i need to come give a kiss to? because this just made me fragile. ksc is army https://t.co/w2gj7jim5j https://t.co/mnyvwj12xi,True
i’m a sophomore in college who has alot of labs to conduct and report and a coding class that takes up me whole weekend but yet and still i take the time out my day to stream and maintain a’s and high b’s unlike you who is projecting https://t.co/pzt51qmbsa,True
i figured out how to schedule tweets. it's over for the three of you who actually read my posts. you know who you are.,True
@valensrutagengw @otimmichael @aimarulinda @brendamutesi3 @lucyhockingsbbc @ckanimba @bbcworld @freethehero @ahbobin @shinani1 @davidhimbara @judirever @anaisekanimba @kittykurth @jayniemarie see how many people calling his freedom and how many are you who want to deny his rights then come back with your research.,True
@cryptojebb @iohk_charles he'll come on your show...send him a dm...he'll tell you who to contact to arrange it.,True
@nypost karma is a bitch .. hopefully all of you who have these awful comments get a good dose of it,True
@kimmybtw you think you who,False
"@busyelonmusk @hogefinance @hogemarketing is that you who put hundreds of hours of work for free to improve hoge project token?
doesn't seems like
who are you and what have you done for this community project?
where is your value in this project?
what is your purpose?
bitching isn't a purpose in a community project.",True
i just learned about the existence of shohei ohtani funko pops and those of you who know me well enough know i got one of those for every obsession i have from anime to bts to guns n roses. lmfaoooo lord please give me the strength https://t.co/djwlxnjdao,True
"here’s a song for you… who will comfort me by melody gardot
https://t.co/d7bbzpas9t",True
"@jeffthegk @thegkonline galatians 6:1a
brethren, even if anyone is caught in any trespass, you who are spiritual, restore such a one in a spirit of gentleness;",True
"@zorrotheavenger @alibeckzeck says you who got 2 ""experimental jabs"" and has no clue what's in the jab. you got those longitudinal studies for the safe and effective jab. nope cuz there isn't any. you know what was in that jab? nope you have no clue. but you have ""been assimilated""",True
"@aew @realbrittbaker @realrubysoho @tntdrama for those of you who don't know, this is the main event.",False
"for the dozen or so of you who read my blog, i've moved it to a new address to make way for a new website for my book and other writing and work. https://t.co/98vnhbxedp",True
"jika tidak ingin disakiti orang lain, jangan beri atau terima apapun (you who come from the star)",True
@todddoty8 @penny28417243 @watchwoman_lee fg...ftm....anngl....mtf...her daughter if you look closely has an apple front and center...if you do some digging you will find big daddy didn't get to the pinnacle of fame being a saint....sad....watch the hand signs they will tell you who they worship...🙏,True
"@londongirlsj @plaidshirtguy_ @edgarmash791 @kellychavers yes, because most of you who pist stuff like this do it to deflect, but can't show your work. how about doing some percentage rates and show us, not just copy and paste a graph.",True
"i've said it before and i'll say it again. susan 👏 fucking 👏 collins. or . . . when someone shows you who they are the first, second, and third time, believe them. #susancollinsisahypocrite https://t.co/k0a8ckpcud",True
"saved my life, saying “not you.” who in despite of view is pleased to dote.",True
"for you who are sad to read the bible's description of #animal #sacrifices.
#jesus brought complete #peace to the present day on the cross. so you never have to kill #animals with human hands forever.
today the animals are our friends!
#bible #vegan #vegetarian #love #sacrifice",True
"✨ stolen kiss

lixpetistt would kiss you around the corner... 😏
and you, who would do it?

➡️ https://t.co/pnvmhok0dc https://t.co/e1wjob0uvn",True
"@colinbraziergbn *“racist” remarks. 

but wasn’t it you who put ezra levant on tv? you seem to like racists.",True
"i know i am in no position to say anything right now, but still, let me say this— what do you even know about doppo?! he tries his best with his life! and yet, you, who knows nothing is running his mouth… i don’t want to hear it!",True
"✨ new year's kiss

i'm preparing my best last year kiss and first of the next year shivxnr 😘💕
and you, who will you kiss at midnight?

➡️ https://t.co/alka5rgi9p https://t.co/6kkz1kj5hq",True
"new fluffy ao3 one shot titled: anything for you, deku. 

it was a twitter thread first but it's cleaned up and filled out a little for any of you who may want to re-read. 
#dkbk #bkdk #bkdktwt #bakudeku #dekubaku https://t.co/z4z4ct8ayw",True
"you who swallowed a falling star, o heartless man, your heart shall soon be mine.",True
@nicky_the_beard @federisimo @zachsheldon i’m confused by all of you who associate fall strictly with gray skies.,True
"at the urging of those of you who told me i can't keep eating @ruffles and @tomandjerry for dinner, i have ordered @allstarpizzafl for dinner. now i have cannoli too!",True
"@govpritzker you are friends w educators. have you asked why schools teach that usa is a horrible place? 

do you want to right wrongs &amp; improve outcomes in actuality? #illlinois if not you, who?

i've tried to speak to you for yrs. i've seen how schools are up close. ru there?",False
"show me how you drive , and i show you who you are  | fast and furious6|",True
i wish maps tell you who’s gas is cheaper,False
winter always show you who can actually dress,True
"keep make friends those who happy with your success who support you in worse 
stay away with those  who make fun at you who jealous &amp; insult you as a joke  
.
.
#friends",True
"@nathan__dee its people like you who are snakes, defending the oppressors and turning against those fighting for you. what is special about afrikaans? the most spoken native language is zulu followed by xhosa so what is special about afrikaans not san?",True
@themartyrcard was it you who told me to watch it?!!,True
i really wish ig told you who be sending your posts to people 😂,True
"at halftime we’ll have our 2021 bhs homecoming court introduced. concessions will available sponsored by the bowler high school smv!! and for those of you who are unable to attend the game that night, @zaleskisports will be there for the big game!!",True
"you who swallowed a falling star, oh heartless man. your heart shall soon belong to me.",True
"for me. 
i'm sorry to any of you who are disappointed but performing in the state i'm in is no longer possible. if you like my gaming content and etc. please join me  at @hunnieb_vtuber! i play horror games, retro, pokemon, i draw, etc! thank you to all who support me!",True
and it never be the people that’s close to you who ask that shit it be the people who never be around on some shit like when u gonna let me watch him when u gonna let me take him like whennnnn u gonna go jump off a bridge,True
"@thomsentn @djuggler @timburchett @govbilllee i love nashville, and tennessee. that's why i find political operatives like you, who think that big business growth and people moving here is more important than the suffering endured by more than one in ten of our citizens so gross. if we're well governed, why is it a problem?",True
@thehill true colors on display.  belive her when she shows you who she is.,True
"@ronfilipkowski when someone tells you who they are, believe them!",True
@elliotxd_ like i mean look at you!!! who wouldn't flirt with you,False
"@br_betting i can tell you who’s won me the most money, utah st and michigan st",False
"thank u to those of you who came out to the stream today, it was fun showing off my little save file project to you guys. i appreciate you and all the support! 🥺❤️✨",True
@kk131066 your watching 👀👀👀👆facts ppl 👆”let’s if you agree plz share what you just 👀👀👀ed with everyone plz???thku to all of you who 👀👀👀ed this videoclip👆‼️‼️‼️‼️,False
@alisa2s @thetxpundit @zjustzed oh but honey it'll be you who stays home. what happens when you can't go into a grocery store sans a negative test or vaccine card?,True
"@john_msee @ztlorance @therobotbuddha @klwalpole14 @schreiberland no, the proof is on you to explain your fanciful conclusions. not on me saying your talking nonsense but on you who believe such unprovable silly dreamy bullshit.",True
"""if not you, who? if not now, when?""
i don't know. someone else. later. hey, you asked!",False
ayoooo the new update tells you who visited your profile 🤭,True
"be aroud people who believes in your dreams, who encourages you, who lift you higher it makes you want to push yourself more. it feels good to have that “cheerleader” someone who has our back.",True
"do any of you who received the covid vaccine know where your vaccine was manufactured?
please leave a comment if you know.

#rt #ccpvirus #ccp #decouplechina",True
@robsandia religious exemption should never come into play. this is america. those of you who do not believe in real freedom put on your turn coat and get on a plane for australia.,True
"when people show you who they are, believe them the first time.",True
"when someone shows you who they are, believe them. 🤷🏻‍♀️",True
it doesn’t mean that there’s something wrong with you or that you’re being the wrong way—it just means those particular people don’t fit with you &amp; who you are.,True
@theh1d was it you who did the pissing?,True
"✨ new year's kiss

i'm preparing my best last year kiss and first of the next year lan9i3 😘💕
and you, who will you kiss at midnight?

➡️ https://t.co/lofootxzd8 https://t.co/b6grskpwgj",True
@1mohamedomar @mofasomalia do they  told  to you who  kil you father bos,False
"✨ new year's kiss

i'm preparing my best last year kiss and first of the next year iosamub0t 😘💕
and you, who will you kiss at midnight?

➡️ https://t.co/sjfr37vuya https://t.co/awlcyfchlv",True
"huge w for britt getting to close a show like this, if this is accurate. also another omen for those of you who placed your bets on 20 min draw for omega/danielson.",True
"✨ new year's kiss

i'm preparing my best last year kiss and first of the next year tehreenao 😘💕
and you, who will you kiss at midnight?

➡️ https://t.co/qqtrg2ic8x https://t.co/elninsyukv",True
"i want to try that effect that tells you who you look like, only fr it to tell me i look like sloth from the goonies, you guys know what that effect is?",True
"the best leaders aren’t the ones constantly reminding you who they are. they aren’t the ones always looking for photo ops, talking the loudest/most, seeking out opps to be seen instead of leading. being a leader isn’t about everyone (esp outside of your org) knowing who you are.",True
"@joshmalina i'm so sorry, for all of you who loved him. the outpouring makes it so much more heartbreaking. but also beautiful. but also sucky. i'm just so sorry.",True
"chasing perfection isn't the goal, your growth journey is about pursuing the woman that lives inside you who is waiting to be discovered. you're going after her.  
she's worth it.✨

#confidenceforwomen #confidentwomen #confidencecoaching #confidentwomenglow
#confidencemindset",True
"translation: those of you who don’t think masks harm kids are simpletons who need a nice, easy to understand number to quantify everything or you’re just lost because you have zero critical thinking skills. https://t.co/qkqz0wtyl7",True
"@andy_murray nobody told you your service was a few strokes ""above par"" before? great coaching!?!? or was it you who was too stubborn to change it? well, it's never too late to learn. but it would have made some difference if you'd given it some attention ""a few days earlier"".",True
should i remind you that it was you who reduced your own kingdom to ruins? or has that guilt finally caught up to you?,True
the health of our government officials are very important. our foreign affairs minister is not looking healthy at all. please those of you who are very close to her should let her know  she  is looking sick. god bless our homeland ghana https://t.co/sos2erdy3v,True
"@luvyouneighbor @johnpavlovitz cuz folks like you always stop  reading romans too soon:
2 you, therefore, have no excuse, you who pass judgment on someone else, for at whatever point you judge another, you are condemning yourself, because you who pass judgment do the same things.",True
"@dazacklol 

""you who tf-""",False
@jaksmimi2 emma ! love and prayers for you. sister ! 🙏🙏❤️❤️you are brave and strong ! you have the lord with you who keep you strong in him !,True
"for those of you who need to know, this button exists. stop giving her attention and she'll stop being a bitch. and if she doesn't then continue to not give her attention. she's an idiot https://t.co/zggvatxxpg",True
respect to those of you who know the texts via /r/atheism https://t.co/029c5wnis5 #atheist #humanist,True
"@jeaniew333 @kokomothegreat no i was saying that about you who were willing to jump off a cliff because someone told you to cherish the life that you have, as opposed to looking forward to something that doesn't exist. the survival of the fittest comment was to you, specifically. lemming.",True
@emsrsue tis you who are sweet😘😘😘,True
@itsbradshepard one of the real issues with dealing with actual racism in this country are idiots like you who use the racism card as some kind of weapon. you don't like aew so this is your latest sword,True
for the 5 of you who enjoyed this tweet https://t.co/srjjjbtsj1,True
"@hilareebanks i’ll take this one step further. when i saw it was you who posted this, i really thought this was gonna be different lmao",True
"“but for you who fear my name, the sun of righteousness will rise with healing in his wings. and you will go free, leaping with joy like calves let out to pasture. ~ malachi 4:2 nlt https://t.co/ovvgnqyzda",True
"if not now, when? 
if not you, who?",False
@lotu5__ but like what’s wrong with ppl seeing you who gives a fuck what they think!!! wat is it that y’all do not want to be seen??,True
"@snixtysnixt everyone got their own preferences, and that is cool. but loool why generalise when its you who prefers it😂😂😂",True
"@3diian lol
i can’t remember ever having it as a kid (maybe i did 🤷🏻‍♀️). i just had some now and 😬.

hey, more for you and all you who love it 😅. i’m good with that!",True
@myalyn8 theyre transition to love their self and be happy with themselves. no one enjoys to see them suffer other then people like you who are for some reason filled with hate. it’s worse being trapped as someone they don’t wanna be i don’t see why it bothers you sm,True
@meghanmccain @dailymail when a person. shows you who they are.....believe them....,True
"after 4 weeks of being asked “what social identities make you who you are” in this pluralism class, i was the first person to finally bring up fatphobia in discussion. it is a massive part of my life and, frankly, all of our lives and i wish we could talk ab it more openly.",True
"once it's gone, it's gone and you'll never get that back. just think of all the people who are around you, who love you, who look after you.

how would they feel if they knew you were gone?.",True
"@asatinstride ⠀

         📲 to : 俺の愛

⇝ come back here and i'll tell you who the little one is-
⇝ ( ≖_≖ )

without giving answering to other texts as he was impatient to make the call. the officer exhaled out slowly , shifting in bed before he hit the video call button. 

-&gt;",True
@myerswastaken niblings you better calm yourself before i show you who’s boss,False
"@quidrises @adorablepodcast @valerygirl67 @16po @emsops @medwoman1 @ahrehead @jgainsbourgh @vickie627 @atriana @smashli1228 @meljonesladadee @ladyfey12 @coxeanne @notabrokenthing @nevergetfooled @raginxcajun @alkivari @sapienwoman @badams820 @jesus_is_g_d @sheryl47633097 @tylerwillett10 @philbrown62 @aimhighffw @vincegottalotta @1quetzalcoatl1 @katsimkhovitch @robyn87651971 @adampiersen @jencages @wanderinglord @traveler3906 @heather4amazon @janekn0wsbest @pattysmattyvt @el_4ru3yj @vixmcintyre @remoteandie @chronic_chels @nbrink77 @drrosenpenis500 @pennyaxa @_dream_out_loud @mariejo45528473 @theabortiongirl @brian_alford @rod49_j @the_real_bim @simpleargonian again with the bs an embryo is not a human being, it's an embryo and can be removed if the pregnant persondoesn't want to gestate. and since abortion is legal in more and more places it is you who is losing this fight.",True
"✨ stolen kiss

vyisu would kiss you around the corner... 😏
and you, who would do it?

➡️ https://t.co/v8l36fdjw3 https://t.co/oek1vt40jd",True
"when someone shows you who they are, listen. https://t.co/ldrz04gurv",True
"for all of you who have been watching her on twitter she is live for free at 
https://t.co/wnlzprynqz https://t.co/pnpupe1uo7",True
"when these sad memories transcend time and space, and become permanently engraved, you, who have accepted them all without hesitation, are my angel of light",True
"@freshlavy @tellez1x i’m 70 ping i get it lmao, i’m not hating on him nun but love he’s crazy good at the game, just not a comp player from what i’ve heard there’s no reason for me tell you who it is?",True
@benopaonyx1 @unclewizbid me den you who no dey like dey take pics? 😂,True
"after today i have so much added appreciation for those of you who paint digitally. i have always admired that style, and it is *hard* for me to achieve that painterly look without sacrificing fine details. it’s a challenge but it’s also so fun, and exhilarating when it clicks!🎨 https://t.co/ozlxzsgbc3",True
"ㅤ

   ▬▬▬▬▬ ❛ ᴜᴘɢʀᴀᴅᴇᴅ ᴏʀɪɢɪɴᴀʟ ᴠᴀᴍᴘɪʀᴇ⠅
         ㅤ     / “whiskey tells you who’s real and who isn’t.” /

ㅤㅤㅤ━━━━━   ₁vampires consumed by their own bloodlust, possess little to no control, usually mass murderers
         
        :･ﾟrt ↻ ♥ https://t.co/0dbnuatogk",False
"@soda_hunter @aew ha no, they sell tickets before hand and tell you who’s going to be there",False
@redhawkdz and ? even with my mistake we loose 20 points and still finish first on the tournament instead of you who just cry when he get fucked up you can't do anything when it's not some bot in front of you,True
"it’s not the slippery road, it’s you who don’t get a good grip.",False
@monicabridget21 the greatist guitar/rock and blue player of all times. f- you who don't agrre with him.  was in bed for a week after my 2nd dose.,False
my heart goes out to all of you who are dealing with things privately because you feel like you have no one to talk to. 💙,True
"he would have been with you who was worshipped in jerusalem.,those captives who needs help to return, their neighbors should be given money,gold, property,and animals for the sacrifices to the lord god in the temple of jerusalem.,then the leaders of the house of judah and benjami",True
"for all of you who voted pc for the great job they were doing during the pandemic, i hope you are real happy with your choice now. the decisions made are not based on science. they are based on convenience and politics.",True
lemme remind you who put you on. 👌🏽 https://t.co/ykb8pwlvhx,True
"thank you to every single one of you who took time out of their busy days to wish me a happy 30th, it means so much the world to me, thank you @t6design and our #t6crew for wishing me a happy birthday especially @jazzyj_gaming waiting til after midnight like a boss",True
"@dineshdsouza yet you, who are even more corrupt, walk free.

that’s sad.",True
"hey shut the fuck up all of you. who cares you assholes let people live and go entertain yourselves since you're … — ah, thank you so much. :) this is very true. people are just assholes for no reason. https://t.co/e38drenxux",True
"those of you who run/workout (freaks), what do you listen to during?",False
that's you who can't keep a ole lady cause you keep fucking them friends huh,False
i’m so jealous at those of you who get the opportunity to cuss *them* out when they try you. i’m praying my day will come.,True
"go back to jerusalem and build again his temple of the lord god of israel.,he would have been with you who was worshipped in jerusalem.,those captives who needs help to return, their neighbors should be given money,gold, property,and animals for the sacrifices to the lord god in",True
"if any of you who liked this tweet feel inclined or similarly, consider retweeting. i only have about 300 followers, and i feel the sentiment is likely strong in the community. but it can be hard to get the message out there. thanks for supporting/following me as always.",True
"@asfan91 with ""fans"" like you, who needs rivals?",True
@ipsedixitcicero i love it because there are people like you who are willing to admit they didn't have all the information. it keeps me coming back. 💚🕊️,True
every single one of you who supports the status quo should feel shamed to your core by this. https://t.co/h5ppkpmjki,True
@6habio i'm simply repeating the essence of what the majority of the uygur and rest of the chinese population have to say about the situation. you are saying something different from that. it's you who is speaking over them.,True
@oneillr12 @tdgarden @nhlbruinssth @nhlbruins @celtics by joke you referring to yourself ro ? by real fans you mean big and tough unlike you who is afraid of a 💉.,True
"@alfdamvp appreciate you, who to get on it is a different issue lol 🤔",True
"the seats… in my life… how should i put this? i don’t want my heart to be affected by people who don’t have a place there. does that sound cold? well, i guess there are also guys like you who bring their own chair and take a seat.",True
"@hollyrorie @realcandaceo you should stay out of this, holly. it's people like you who messed donald trump up. i wonder if donald consulted @mike_pence. sure, probably...bad news.",True
"@danielandrewsmp there are other ways dan.  plandemic i more or less say, and its you who have made them angry, not a bloody virus that has now killed less people in this country since the vaccine roll-out, and there are more deaths from your safe and effective jab, there are other ways.",True
"the oil is flowing day and night yet,the money has gone for building stomach and buying for machines guns to kill citizens for it.
what leaders are you? who are you going to govern after finishing them,it's great shame to such richest states with no prefect government 🇸🇸🇸🇸 https://t.co/ur7hgdoslr",True
"@joshuahol whoever said that when people tell you who they are, believe them was astute/totally correct.  susan collins has ""told us who she is"" many time (e.g., kavanaugh confirmation).  how does she keep on getting re-elected?",True
@gabepernu also one more thing you are a bad bitch and screw anybody who didn’t try to make you feel like that! you deserve the world and i would take this experience to show you who you’re real friends are and who will be there no matter what! i love you. ❤️,True
"@gillstolemyride @joshiballvids @atmospherec22 @rathfgc @mrmidlife1 @geos9104 but i can see discords being really good if you can find a group of people like you who want to play sets often as you can have a consistent idea of how you're improving

it's like how arcades were but with more people / info. probably too much at times though",True
